card_name,set,set_name,modern,usd,eur
Assassin's Trophy,grn,Guilds of Ravnica,not_legal,24.47,20.01
"Aurelia, Exemplar of Justice",grn,Guilds of Ravnica,not_legal,9.46,7.64
Divine Visitation,grn,Guilds of Ravnica,not_legal,8.77,5.42
Doom Whisperer,grn,Guilds of Ravnica,not_legal,17.42,8.46
Dream Eater,grn,Guilds of Ravnica,not_legal,3.16,3.13
Knight of Autumn,grn,Guilds of Ravnica,not_legal,4.56,4.08
"Lazav, the Multifarious",grn,Guilds of Ravnica,not_legal,6.96,3.61
Legion Warboss,grn,Guilds of Ravnica,not_legal,3.38,2.82
March of the Multitudes,grn,Guilds of Ravnica,not_legal,5.49,3.93
Mission Briefing,grn,Guilds of Ravnica,not_legal,8.52,7.08
Nullhide Ferox,grn,Guilds of Ravnica,not_legal,7.89,5.19
Overgrown Tomb,grn,Guilds of Ravnica,legal,6.86,4.81
"Ral, Izzet Viceroy",grn,Guilds of Ravnica,not_legal,10.56,7.48
Sacred Foundry,grn,Guilds of Ravnica,legal,7.86,5.09
Steam Vents,grn,Guilds of Ravnica,legal,8.17,5.83
Temple Garden,grn,Guilds of Ravnica,legal,5.77,4.44
Underrealm Lich,grn,Guilds of Ravnica,not_legal,4.5,3.38
Unmoored Ego,grn,Guilds of Ravnica,not_legal,2.47,2.01
"Vraska, Golgari Queen",grn,Guilds of Ravnica,not_legal,13.36,9.79
Watery Grave,grn,Guilds of Ravnica,legal,8.29,5.86
"Arixmethes, Slumbering Isle",c18,Commander 2018,not_legal,4.56,5.73
Enchantress's Presence,c18,Commander 2018,not_legal,2.49,2.03
Estrid's Invocation,c18,Commander 2018,not_legal,3.99,2.07
"Saheeli, the Gifted",c18,Commander 2018,not_legal,4.77,5.09
Terminus,c18,Commander 2018,legal,2.99,2.06
Treasure Nabber,c18,Commander 2018,not_legal,6.36,5.14
Turntimber Sower,c18,Commander 2018,not_legal,0.79,2.07
Tuvasa the Sunlit,c18,Commander 2018,not_legal,2.82,2.17
