card_name,set,set_name,modern,usd,eur
Assassin's Trophy,grn,Guilds of Ravnica,not_legal,24.42,19.94
"Aurelia, Exemplar of Justice",grn,Guilds of Ravnica,not_legal,9.33,7.35
Divine Visitation,grn,Guilds of Ravnica,not_legal,8.93,5.39
Doom Whisperer,grn,Guilds of Ravnica,not_legal,15.80,7.50
Dream Eater,grn,Guilds of Ravnica,not_legal,3.16,3.27
Knight of Autumn,grn,Guilds of Ravnica,not_legal,4.55,4.01
"Lazav, the Multifarious",grn,Guilds of Ravnica,not_legal,6.96,3.64
Legion Warboss,grn,Guilds of Ravnica,not_legal,3.23,2.81
March of the Multitudes,grn,Guilds of Ravnica,not_legal,5.49,3.89
Mission Briefing,grn,Guilds of Ravnica,not_legal,8.51,7.04
Mnemonic Betrayal,grn,Guilds of Ravnica,not_legal,4.99,2.08
Nullhide Ferox,grn,Guilds of Ravnica,not_legal,7.92,5.20
Overgrown Tomb,grn,Guilds of Ravnica,legal,6.90,4.91
"Ral, Izzet Viceroy",grn,Guilds of Ravnica,not_legal,10.85,7.71
Sacred Foundry,grn,Guilds of Ravnica,legal,7.88,5.26
Steam Vents,grn,Guilds of Ravnica,legal,8.19,6.08
Temple Garden,grn,Guilds of Ravnica,legal,6.04,4.56
Underrealm Lich,grn,Guilds of Ravnica,not_legal,4.41,3.46
Unmoored Ego,grn,Guilds of Ravnica,not_legal,2.51,2.10
"Vraska, Golgari Queen",grn,Guilds of Ravnica,not_legal,13.72,9.72
Watery Grave,grn,Guilds of Ravnica,legal,8.32,6.01
"Arixmethes, Slumbering Isle",c18,Commander 2018,not_legal,4.56,5.80
Estrid's Invocation,c18,Commander 2018,not_legal,3.99,2.07
Lord Windgrace,c18,Commander 2018,not_legal,5.99,5.23
"Saheeli, the Gifted",c18,Commander 2018,not_legal,4.77,5.09
Terminus,c18,Commander 2018,legal,2.79,2.03
Treasure Nabber,c18,Commander 2018,not_legal,6.36,5.11
Turntimber Sower,c18,Commander 2018,not_legal,0.79,2.16
Tuvasa the Sunlit,c18,Commander 2018,not_legal,2.82,2.17
Unwinding Clock,c18,Commander 2018,legal,1.99,2.05
"Varina, Lich Queen",c18,Commander 2018,not_legal,2.29,2.80
Windgrace's Judgment,c18,Commander 2018,not_legal,6.77,5.01
"Xantcha, Sleeper Agent",c18,Commander 2018,not_legal,4.42,2.04
"Yuriko, the Tiger's Shadow",c18,Commander 2018,not_legal,13.98,11.91
Aggressive Mammoth,m19,Core Set 2019,legal,2.88,2.67
"Ajani, Adversary of Tyrants",m19,Core Set 2019,legal,7.78,8.36
"Ajani, Wise Counselor",m19,Core Set 2019,legal,6.06,7.09
"Arcades, the Strategist",m19,Core Set 2019,legal,3.42,4.05
"Chromium, the Mutable",m19,Core Set 2019,legal,1.96,3.06
Crucible of Worlds,m19,Core Set 2019,legal,14.57,11.13
Death Baron,m19,Core Set 2019,legal,2.75,2.85
"Liliana, the Necromancer",m19,Core Set 2019,legal,7.13,8.97
"Liliana, Untouched by Death",m19,Core Set 2019,legal,4.27,5.41
Mist-Cloaked Herald,m19,Core Set 2019,legal,1.29,2.81
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",m19,Core Set 2019,legal,22.68,19.76
Omniscience,m19,Core Set 2019,legal,4.17,3.95
Resplendent Angel,m19,Core Set 2019,legal,8.89,9.12
"Sai, Master Thopterist",m19,Core Set 2019,legal,2.99,3.34
"Sarkhan, Dragonsoul",m19,Core Set 2019,legal,9.31,9.51
"Sarkhan, Fireblood",m19,Core Set 2019,legal,12.43,12.93
Scapeshift,m19,Core Set 2019,legal,7.88,8.28
Supreme Phantom,m19,Core Set 2019,legal,2.03,3.26
"Tezzeret, Artifice Master",m19,Core Set 2019,legal,5.99,6.95
"Tezzeret, Cruel Machinist",m19,Core Set 2019,legal,4.78,5.26
Vivien of the Arkbow,m19,Core Set 2019,legal,6.99,4.95
Vivien Reid,m19,Core Set 2019,legal,6.66,7.87
Ancestor Dragon,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,0.39,2.50
Jiang Yanggu,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.10,6.43
Mu Yanling,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.74,7.75
Gifts Ungiven,ss1,Signature Spellbook: Jace,legal,3.49,2.65
Mystical Tutor,ss1,Signature Spellbook: Jace,not_legal,5.66,2.39
Arcane Artisan,bbd,Battlebond,not_legal,7.72,6.03
Archfiend of Despair,bbd,Battlebond,not_legal,5.99,2.76
Arena Rector,bbd,Battlebond,not_legal,13.48,11.71
Bountiful Promenade,bbd,Battlebond,not_legal,6.82,4.25
Bramble Sovereign,bbd,Battlebond,not_legal,7.74,6.03
Brightling,bbd,Battlebond,not_legal,10.61,9.13
Diabolic Intent,bbd,Battlebond,not_legal,4.91,3.47
Doubling Season,bbd,Battlebond,legal,33.20,25.29
Land Tax,bbd,Battlebond,not_legal,17.15,12.81
Luxury Suite,bbd,Battlebond,not_legal,6.39,4.15
Morphic Pool,bbd,Battlebond,not_legal,9.75,5.18
Mycosynth Lattice,bbd,Battlebond,legal,8.02,3.73
Mystic Confluence,bbd,Battlebond,not_legal,2.64,2.75
"Najeela, the Blade-Blossom",bbd,Battlebond,not_legal,7.04,5.27
Nirkana Revenant,bbd,Battlebond,legal,4.91,3.21
Rowan Kenrith,bbd,Battlebond,not_legal,3.49,2.76
Sea of Clouds,bbd,Battlebond,not_legal,7.55,4.57
Seedborn Muse,bbd,Battlebond,legal,5.94,3.20
Spellseeker,bbd,Battlebond,not_legal,5.43,4.75
Spire Garden,bbd,Battlebond,not_legal,5.16,3.46
True-Name Nemesis,bbd,Battlebond,not_legal,10.40,11.35
Will Kenrith,bbd,Battlebond,not_legal,5.99,5.73
Ash Barrens,cm2,Commander Anthology Volume II,not_legal,2.03,2.21
"Atraxa, Praetors' Voice",cm2,Commander Anthology Volume II,not_legal,16.29,11.45
Blade of Selves,cm2,Commander Anthology Volume II,not_legal,5.11,3.24
Blasphemous Act,cm2,Commander Anthology Volume II,legal,2.44,2.11
Caged Sun,cm2,Commander Anthology Volume II,legal,6.91,3.76
"Damia, Sage of Stone",cm2,Commander Anthology Volume II,not_legal,6.46,2.79
"Daretti, Scrap Savant",cm2,Commander Anthology Volume II,not_legal,4.56,2.05
Deepglow Skate,cm2,Commander Anthology Volume II,not_legal,6.64,3.03
Eternal Witness,cm2,Commander Anthology Volume II,legal,6.99,3.96
Fiery Confluence,cm2,Commander Anthology Volume II,not_legal,13.89,13.45
"Gisela, Blade of Goldnight",cm2,Commander Anthology Volume II,legal,4.47,2.54
Grave Pact,cm2,Commander Anthology Volume II,legal,11.03,6.43
Hardened Scales,cm2,Commander Anthology Volume II,legal,5.11,3.13
Kalonian Hydra,cm2,Commander Anthology Volume II,legal,4.85,2.54
Lightning Greaves,cm2,Commander Anthology Volume II,legal,4.48,2.04
Oblivion Stone,cm2,Commander Anthology Volume II,legal,6.01,3.81
"Reyhan, Last of the Abzan",cm2,Commander Anthology Volume II,not_legal,3.82,2.69
Ruby Medallion,cm2,Commander Anthology Volume II,not_legal,5.16,3.13
Scavenging Ooze,cm2,Commander Anthology Volume II,legal,3.15,2.92
"Skullbriar, the Walking Grave",cm2,Commander Anthology Volume II,not_legal,3.16,2.03
The Mimeoplasm,cm2,Commander Anthology Volume II,not_legal,4.90,2.79
Thought Vessel,cm2,Commander Anthology Volume II,not_legal,6.91,3.63
Urza's Incubator,cm2,Commander Anthology Volume II,not_legal,9.98,5.95
Wurmcoil Engine,cm2,Commander Anthology Volume II,legal,20.78,13.71
"Chandra, Bold Pyromancer",dom,Dominaria,legal,3.99,4.42
Goblin Chainwhirler,dom,Dominaria,legal,3.49,3.09
Hinterland Harbor,dom,Dominaria,legal,2.62,2.21
History of Benalia,dom,Dominaria,legal,10.76,10.07
Isolated Chapel,dom,Dominaria,legal,3.01,2.56
Jaya Ballard,dom,Dominaria,legal,3.66,2.72
"Karn, Scion of Urza",dom,Dominaria,legal,26.90,25.67
Lyra Dawnbringer,dom,Dominaria,legal,11.79,10.58
Mox Amber,dom,Dominaria,legal,10.05,8.92
"Muldrotha, the Gravetide",dom,Dominaria,legal,3.49,2.27
"Shalai, Voice of Plenty",dom,Dominaria,legal,2.63,2.60
Steel Leaf Champion,dom,Dominaria,legal,3.53,2.60
Sulfur Falls,dom,Dominaria,legal,4.77,3.78
"Teferi, Hero of Dominaria",dom,Dominaria,legal,44.57,44.21
"Teferi, Timebender",dom,Dominaria,legal,2.79,5.29
Woodland Cemetery,dom,Dominaria,legal,4.12,3.36
Darksteel Plate,ddu,Duel Decks: Elves vs. Inventors,legal,4.18,2.67
Elvish Archdruid,ddu,Duel Decks: Elves vs. Inventors,legal,2.67,2.30
"Ezuri, Renegade Leader",ddu,Duel Decks: Elves vs. Inventors,legal,3.95,2.68
Goblin Welder,ddu,Duel Decks: Elves vs. Inventors,not_legal,1.03,2.40
Solemn Simulacrum,ddu,Duel Decks: Elves vs. Inventors,legal,4.87,2.14
Ancient Stirrings,a25,Masters 25,legal,1.99,2.18
"Animar, Soul of Elements",a25,Masters 25,not_legal,7.40,7.05
Armageddon,a25,Masters 25,not_legal,2.99,2.48
Ash Barrens,a25,Masters 25,not_legal,2.02,2.01
"Azusa, Lost but Seeking",a25,Masters 25,legal,17.21,13.38
Blood Moon,a25,Masters 25,legal,17.46,18.35
Cascade Bluffs,a25,Masters 25,legal,5.97,6.14
Chalice of the Void,a25,Masters 25,legal,39.81,33.57
Coalition Relic,a25,Masters 25,legal,4.49,2.98
Courser of Kruphix,a25,Masters 25,legal,3.49,3.60
Eidolon of the Great Revel,a25,Masters 25,legal,3.88,5.42
Eladamri's Call,a25,Masters 25,not_legal,2.99,2.98
Ensnaring Bridge,a25,Masters 25,legal,39.80,37.06
Fetid Heath,a25,Masters 25,legal,6.32,6.54
Flooded Grove,a25,Masters 25,legal,5.02,5.23
"Gisela, Blade of Goldnight",a25,Masters 25,legal,3.97,2.88
Imperial Recruiter,a25,Masters 25,not_legal,26.40,26.30
"Jace, the Mind Sculptor",a25,Masters 25,legal,81.75,76.86
Lightning Bolt,a25,Masters 25,legal,2.88,2.63
Master of the Wild Hunt,a25,Masters 25,legal,2.85,3.12
Pact of Negation,a25,Masters 25,legal,9.45,7.92
Pendelhaven,a25,Masters 25,legal,1.99,2.84
Pernicious Deed,a25,Masters 25,not_legal,2.99,2.24
Phyrexian Obliterator,a25,Masters 25,legal,17.38,17.29
Rest in Peace,a25,Masters 25,legal,5.41,5.65
Rishadan Port,a25,Masters 25,not_legal,17.44,22.43
Rugged Prairie,a25,Masters 25,legal,4.07,3.83
Street Wraith,a25,Masters 25,legal,1.99,2.79
Summoner's Pact,a25,Masters 25,legal,4.99,5.81
"Thalia, Guardian of Thraben",a25,Masters 25,legal,9.48,10.78
Twilight Mire,a25,Masters 25,legal,5.63,6.97
Utopia Sprawl,a25,Masters 25,legal,2.99,2.10
Vendilion Clique,a25,Masters 25,legal,18.76,18.30
Vindicate,a25,Masters 25,not_legal,2.67,2.69
"Angrath, the Flame-Chained",rix,Rivals of Ixalan,legal,5.75,4.67
Azor's Gateway // Sanctum of the Sun,rix,Rivals of Ixalan,legal,2.99,3.74
Dire Fleet Daredevil,rix,Rivals of Ixalan,legal,1.99,2.79
"Elenda, the Dusk Rose",rix,Rivals of Ixalan,legal,6.99,4.22
"Ghalta, Primal Hunger",rix,Rivals of Ixalan,legal,8.43,6.67
"Huatli, Radiant Champion",rix,Rivals of Ixalan,legal,5.11,3.76
Jadelight Ranger,rix,Rivals of Ixalan,legal,4.99,5.06
"Journey to Eternity // Atzal, Cave of Eternity",rix,Rivals of Ixalan,legal,2.06,2.05
"Kumena, Tyrant of Orazca",rix,Rivals of Ixalan,legal,5.33,5.55
Polyraptor,rix,Rivals of Ixalan,legal,1.99,2.34
Radiant Destiny,rix,Rivals of Ixalan,legal,3.38,2.35
Rekindling Phoenix,rix,Rivals of Ixalan,legal,20.54,18.98
Tendershoot Dryad,rix,Rivals of Ixalan,legal,3.85,4.07
The Immortal Sun,rix,Rivals of Ixalan,legal,10.38,7.74
Twilight Prophet,rix,Rivals of Ixalan,legal,8.32,6.87
"Vraska, Scheming Gorgon",rix,Rivals of Ixalan,legal,4.30,5.08
Wayward Swordtooth,rix,Rivals of Ixalan,legal,5.12,2.70
"Zacama, Primal Calamity",rix,Rivals of Ixalan,legal,9.47,5.27
Island,ust,Unstable,legal,4.04,2.46
Swamp,ust,Unstable,legal,3.52,2.13
Adaptive Automaton,e02,Explorers of Ixalan,legal,2.91,3.22
Aggravated Assault,e02,Explorers of Ixalan,not_legal,5.24,5.10
Path to Exile,e02,Explorers of Ixalan,legal,6.99,5.97
Quicksilver Amulet,e02,Explorers of Ixalan,legal,4.40,4.93
Shared Animosity,e02,Explorers of Ixalan,legal,5.03,5.40
Time Warp,e02,Explorers of Ixalan,legal,9.99,10.50
"Archangel Avacyn // Avacyn, the Purifier",v17,From the Vault: Transform,legal,4.99,3.85
"Arlinn Kord // Arlinn, Embraced by the Moon",v17,From the Vault: Transform,legal,3.47,2.24
Bloodline Keeper // Lord of Lineage,v17,From the Vault: Transform,legal,9.82,7.54
Delver of Secrets // Insectile Aberration,v17,From the Vault: Transform,legal,9.71,8.06
"Garruk Relentless // Garruk, the Veil-Cursed",v17,From the Vault: Transform,legal,4.24,3.38
Huntmaster of the Fells // Ravager of the Fells,v17,From the Vault: Transform,legal,10.99,9.28
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",v17,From the Vault: Transform,legal,16.46,16.19
"Kytheon, Hero of Akros // Gideon, Battle-Forged",v17,From the Vault: Transform,legal,3.99,3.89
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",v17,From the Vault: Transform,legal,9.54,6.30
"Nissa, Vastwood Seer // Nissa, Sage Animist",v17,From the Vault: Transform,legal,6.81,5.03
Aether Vial,ima,Iconic Masters,legal,33.22,24.06
Ancestral Vision,ima,Iconic Masters,legal,9.73,10.33
Archangel of Thune,ima,Iconic Masters,legal,12.05,10.45
Auriok Champion,ima,Iconic Masters,legal,3.75,3.91
Austere Command,ima,Iconic Masters,legal,4.72,2.79
"Avacyn, Angel of Hope",ima,Iconic Masters,legal,17.15,10.53
Bloodghast,ima,Iconic Masters,legal,11.94,11.37
Consecrated Sphinx,ima,Iconic Masters,legal,12.89,8.78
Cryptic Command,ima,Iconic Masters,legal,22.00,20.42
"Elesh Norn, Grand Cenobite",ima,Iconic Masters,legal,13.03,10.40
Flusterstorm,ima,Iconic Masters,not_legal,12.22,13.08
Glimpse the Unthinkable,ima,Iconic Masters,legal,5.24,4.66
Grove of the Burnwillows,ima,Iconic Masters,legal,11.87,12.34
Horizon Canopy,ima,Iconic Masters,legal,53.98,49.26
"Jin-Gitaxias, Core Augur",ima,Iconic Masters,legal,6.26,4.53
"Kiki-Jiki, Mirror Breaker",ima,Iconic Masters,legal,7.54,5.64
Knight of the Reliquary,ima,Iconic Masters,legal,3.20,3.25
"Kokusho, the Evening Star",ima,Iconic Masters,legal,4.69,3.58
Lotus Cobra,ima,Iconic Masters,legal,5.80,4.11
Magus of the Moon,ima,Iconic Masters,legal,5.40,5.22
Mana Drain,ima,Iconic Masters,not_legal,50.54,39.63
Mishra's Bauble,ima,Iconic Masters,legal,3.53,4.08
Necropotence,ima,Iconic Masters,not_legal,5.49,3.12
Oblivion Stone,ima,Iconic Masters,legal,5.54,3.92
"Ob Nixilis, the Fallen",ima,Iconic Masters,legal,6.49,2.42
Primeval Titan,ima,Iconic Masters,legal,7.57,7.33
Restoration Angel,ima,Iconic Masters,legal,2.08,2.33
Serra Ascendant,ima,Iconic Masters,legal,5.72,5.25
"Sheoldred, Whispering One",ima,Iconic Masters,legal,12.22,7.31
Supreme Verdict,ima,Iconic Masters,legal,4.25,3.93
Thoughtseize,ima,Iconic Masters,legal,13.81,15.05
Thundermaw Hellkite,ima,Iconic Masters,legal,3.43,3.60
Urabrask the Hidden,ima,Iconic Masters,legal,3.47,2.64
"Vorinclex, Voice of Hunger",ima,Iconic Masters,legal,12.27,7.43
Goblin Chieftain,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.86,2.55
Goblin Rabblemaster,ddt,Duel Decks: Merfolk vs. Goblins,legal,3.72,2.94
Master of the Pearl Trident,ddt,Duel Decks: Merfolk vs. Goblins,legal,4.08,4.91
Master of Waves,ddt,Duel Decks: Merfolk vs. Goblins,legal,1.69,2.29
Warren Instigator,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.65,2.69
Carnage Tyrant,xln,Ixalan,legal,19.03,13.70
Dragonskull Summit,xln,Ixalan,legal,3.38,2.45
Drowned Catacomb,xln,Ixalan,legal,5.03,3.56
Field of Ruin,xln,Ixalan,legal,3.69,3.09
"Gishath, Sun's Avatar",xln,Ixalan,legal,2.65,2.12
Glacial Fortress,xln,Ixalan,legal,4.94,3.38
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",xln,Ixalan,legal,5.82,3.55
Hostage Taker,xln,Ixalan,legal,2.66,2.45
"Huatli, Dinosaur Knight",xln,Ixalan,legal,4.42,5.42
"Jace, Ingenious Mind-Mage",xln,Ixalan,legal,3.87,5.33
