card_name,set,set_name,modern,usd,eur
Assassin's Trophy,grn,Guilds of Ravnica,not_legal,25.60,19.54
"Aurelia, Exemplar of Justice",grn,Guilds of Ravnica,not_legal,9.58,6.05
Chance for Glory,grn,Guilds of Ravnica,not_legal,4.99,2.79
Divine Visitation,grn,Guilds of Ravnica,not_legal,11.99,6.35
Doom Whisperer,grn,Guilds of Ravnica,not_legal,10.96,8.03
Dream Eater,grn,Guilds of Ravnica,not_legal,3.49,3.39
Knight of Autumn,grn,Guilds of Ravnica,not_legal,4.97,3.66
"Lazav, the Multifarious",grn,Guilds of Ravnica,not_legal,8.34,2.89
Legion Warboss,grn,Guilds of Ravnica,not_legal,3.39,2.98
March of the Multitudes,grn,Guilds of Ravnica,not_legal,5.99,3.71
Mission Briefing,grn,Guilds of Ravnica,not_legal,9.01,6.58
Mnemonic Betrayal,grn,Guilds of Ravnica,not_legal,4.99,4.88
Nullhide Ferox,grn,Guilds of Ravnica,not_legal,8.25,5.49
Overgrown Tomb,grn,Guilds of Ravnica,legal,7.22,4.67
"Ral, Izzet Viceroy",grn,Guilds of Ravnica,not_legal,11.85,9.25
Sacred Foundry,grn,Guilds of Ravnica,legal,8.24,5.28
Steam Vents,grn,Guilds of Ravnica,legal,8.54,5.93
Temple Garden,grn,Guilds of Ravnica,legal,6.46,4.28
Thousand-Year Storm,grn,Guilds of Ravnica,not_legal,5.99,2.66
Trostani Discordant,grn,Guilds of Ravnica,not_legal,4.99,2.01
Underrealm Lich,grn,Guilds of Ravnica,not_legal,4.39,3.87
Unmoored Ego,grn,Guilds of Ravnica,not_legal,2.99,2.28
"Vraska, Golgari Queen",grn,Guilds of Ravnica,not_legal,17.24,10.32
Watery Grave,grn,Guilds of Ravnica,legal,8.71,5.83
"Arixmethes, Slumbering Isle",c18,Commander 2018,not_legal,4.61,5.49
Estrid's Invocation,c18,Commander 2018,not_legal,3.99,2.09
Lord Windgrace,c18,Commander 2018,not_legal,6.49,5.23
"Saheeli, the Gifted",c18,Commander 2018,not_legal,4.81,5.09
Treasure Nabber,c18,Commander 2018,not_legal,6.43,5.38
Tuvasa the Sunlit,c18,Commander 2018,not_legal,2.80,2.14
Unwinding Clock,c18,Commander 2018,legal,1.99,2.05
"Varina, Lich Queen",c18,Commander 2018,not_legal,2.39,3.21
Windgrace's Judgment,c18,Commander 2018,not_legal,6.34,4.48
"Yuriko, the Tiger's Shadow",c18,Commander 2018,not_legal,14.32,11.72
Aggressive Mammoth,m19,Core Set 2019,legal,3.01,2.85
"Ajani, Adversary of Tyrants",m19,Core Set 2019,legal,7.63,8.14
"Ajani, Wise Counselor",m19,Core Set 2019,legal,6.03,6.76
"Arcades, the Strategist",m19,Core Set 2019,legal,3.57,4.07
"Chromium, the Mutable",m19,Core Set 2019,legal,2.29,3.31
Crucible of Worlds,m19,Core Set 2019,legal,14.76,11.00
Death Baron,m19,Core Set 2019,legal,2.60,2.82
"Liliana, the Necromancer",m19,Core Set 2019,legal,7.11,9.13
"Liliana, Untouched by Death",m19,Core Set 2019,legal,4.76,5.32
Mist-Cloaked Herald,m19,Core Set 2019,legal,1.49,2.42
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",m19,Core Set 2019,legal,22.73,20.26
Omniscience,m19,Core Set 2019,legal,4.25,3.97
Resplendent Angel,m19,Core Set 2019,legal,8.29,9.18
"Sai, Master Thopterist",m19,Core Set 2019,legal,2.99,3.51
"Sarkhan, Dragonsoul",m19,Core Set 2019,legal,9.55,9.41
"Sarkhan, Fireblood",m19,Core Set 2019,legal,12.99,13.34
